Height,Alto-Bajo
73.847017017515,ALTO
68.78190404589029,ALTO
74.11010539178491,ALTO
71.7309784033377,ALTO
69.8817958611153,ALTO
67.2530156878065,ALTO
68.78508125166161,ALTO
67.01894966288299,ALTO
63.456493978366396,BAJO
71.1953822829745,ALTO
71.64080511922059,ALTO
64.7663291334055,BAJO
69.2830700967204,ALTO
69.2437322298112,ALTO
67.6456197004212,ALTO
72.4183166259878,ALTO
63.974325721061,BAJO
69.64005989975229,ALTO
67.93600485400951,ALTO
67.9150501938206,ALTO
69.4394398680395,ALTO
66.14913196087811,BAJO
75.20597361422121,ALTO
67.8931963386043,ALTO
68.1440327982008,ALTO
69.0896314289256,ALTO
72.80084351650031,ALTO
67.4212422817167,ALTO
68.49641535688271,ALTO
68.6181105502058,ALTO
74.03380762166779,ALTO
71.5282160355709,ALTO
69.1801610995692,ALTO
69.577202365402,ALTO
70.4009288884762,ALTO
69.0761711675356,ALTO
67.1935232827228,ALTO
65.8073156549306,BAJO
64.3041878915595,BAJO
67.9743362271967,ALTO
72.18942595921341,ALTO
65.2703455240394,BAJO
66.09017737627249,BAJO
67.5103215157138,ALTO
70.1047862551571,ALTO
68.25183644086721,ALTO
72.1727091157973,ALTO
69.1798576188774,ALTO
72.870360147235,ALTO
64.7825829779871,BAJO
70.18354988748371,ALTO
68.4914502529394,ALTO
67.33083088101621,ALTO
66.9909440825232,ALTO
66.4995499002499,BAJO
68.3530566463988,ALTO
70.77445907039741,ALTO
71.2159236694709,ALTO
70.0133653490674,ALTO
71.40318222075891,ALTO
69.5520050948319,ALTO
73.81853455776991,ALTO
66.99688275225,ALTO
71.41846589309071,ALTO
65.27930020900429,BAJO
68.2741914742284,ALTO
72.7653699463424,ALTO
68.0993798003468,ALTO
68.8967060721692,ALTO
69.2895099633052,ALTO
70.52322452345649,ALTO
69.6637252265179,ALTO
67.5952688079157,ALTO
72.5081203801037,ALTO
71.2529856038086,ALTO
71.8091868893668,ALTO
72.24516547925191,ALTO
66.51262766093471,BAJO
66.0290340048182,BAJO
67.57715394273501,ALTO
68.2465686016242,ALTO
73.8261270026308,ALTO
69.8024643604904,ALTO
65.9595777848988,BAJO
71.0790175757451,ALTO
66.5961965372077,BAJO
68.9515350928246,ALTO
68.2444617923064,ALTO
72.3168251228452,ALTO
71.81542044953079,ALTO
65.2370495188386,BAJO
70.6405300907292,ALTO
64.731925597255,BAJO
67.1035511824075,ALTO
65.1174848880457,BAJO
71.7012340230177,ALTO
66.8328782059274,BAJO
66.4712752615182,BAJO
