,Height
0,73.847017017515
1,68.78190404589029
2,74.11010539178491
3,71.7309784033377
4,69.8817958611153
5,67.2530156878065
6,68.78508125166161
7,67.01894966288299
8,63.456493978366396
9,71.1953822829745
10,71.64080511922059
11,64.7663291334055
12,69.2830700967204
13,69.2437322298112
14,67.6456197004212
15,72.4183166259878
16,63.974325721061
17,69.64005989975229
18,67.93600485400951
19,67.9150501938206
20,69.4394398680395
21,66.14913196087811
22,75.20597361422121
23,67.8931963386043
24,68.1440327982008
25,69.0896314289256
26,72.80084351650031
27,67.4212422817167
28,68.49641535688271
29,68.6181105502058
30,74.03380762166779
31,71.5282160355709
32,69.1801610995692
33,69.577202365402
34,70.4009288884762
35,69.0761711675356
36,67.1935232827228
37,65.8073156549306
38,64.3041878915595
39,67.9743362271967
40,72.18942595921341
41,65.2703455240394
42,66.09017737627249
43,67.5103215157138
44,70.1047862551571
45,68.25183644086721
46,72.1727091157973
47,69.1798576188774
48,72.870360147235
49,64.7825829779871
50,70.18354988748371
51,68.4914502529394
52,67.33083088101621
53,66.9909440825232
54,66.4995499002499
55,68.3530566463988
56,70.77445907039741
57,71.2159236694709
58,70.0133653490674
59,71.40318222075891
60,69.5520050948319
61,73.81853455776991
62,66.99688275225
63,71.41846589309071
64,65.27930020900429
65,68.2741914742284
66,72.7653699463424
67,68.0993798003468
68,68.8967060721692
69,69.2895099633052
70,70.52322452345649
71,69.6637252265179
72,67.5952688079157
73,72.5081203801037
74,71.2529856038086
75,71.8091868893668
76,72.24516547925191
77,66.51262766093471
78,66.0290340048182
79,67.57715394273501
80,68.2465686016242
81,73.8261270026308
82,69.8024643604904
83,65.9595777848988
84,71.0790175757451
85,66.5961965372077
86,68.9515350928246
87,68.2444617923064
88,72.3168251228452
89,71.81542044953079
90,65.2370495188386
91,70.6405300907292
92,64.731925597255
93,67.1035511824075
94,65.1174848880457
95,71.7012340230177
96,66.8328782059274
97,66.4712752615182
98,69.41152622060389
99,66.7436046519631
100,66.2743291154144
101,68.328447992915
102,70.0758881952341
103,68.73298814873439
104,67.55605126187601
105,66.2536325347937
106,69.1822026805756
107,67.6091049416397
108,69.2927380218867
109,68.1906840077038
110,71.6070857988906
111,69.1968575103315
112,67.2619609790619
113,73.6851933999998
114,69.5372150072948
115,68.3115598414683
116,67.7389634664393
117,71.70576260110009
118,63.63226460378671
119,68.7211984556865
120,66.9493416501869
121,62.7069897353164
122,72.2584089235993
123,70.90865306266758
124,67.609843601682
125,70.8015589556942
126,69.3047690450735
127,66.2428983411553
128,67.4921929772739
129,65.8062482913584
130,71.4437056615428
131,68.4644058223141
132,63.98792460498
133,71.00189768584559
134,68.1397241925525
135,68.395400248121
136,68.0962197450165
137,68.14059035592089
138,68.8600903087433
139,66.1488525422307
140,66.2060320529589
141,67.4321202146878
142,69.47110603124699
143,70.5158596943462
144,71.3383760399558
145,71.00194476735379
146,66.202347706273
147,72.5433070453887
148,67.4793517580411
149,65.3504105558103
150,70.8440624208882
151,69.9384752593112
152,64.7398154829922
153,69.3084028803936
154,68.8384628598724
155,61.9373232676829
156,68.5933355351181
157,65.2185755780772
158,64.3336481069845
159,68.7489067017398
160,72.4896554004081
161,67.2339309182551
162,67.263604843261
163,65.11850428317351
164,66.2628200381632
165,67.70167965962729
166,65.530695966695
167,69.8689698092041
168,68.481875364733
169,72.2139633457195
170,68.1795326940723
171,71.9812065428705
172,66.0651367327304
173,66.6561641698185
